A   B   C   D   E     Code      SV    SM    AV    AM    Major
11  19  01  00  00     03       000   000   000   000   ASUD
12  12  00  00  00     03       340   450   000   000   SPAN
09  14  00  00  00     03       540   530   000   000   ASUD
14  26  02  00  00     04       550   550   000   000   MUPF
12  31  06  02  03     04       500   500   000   000   ARCH
12  19  06  00  00     04       490   580   000   000   MIS
12  18  01  00  00     03       560   630   000   000   PLAW
14  24  04  03  06     05       000   000   000   000   ASUD
04  05  00  00  00     01       450   420   000   000   ASUD
08  14  01  00  04     02       000   000   000   000   PROV
07  08  01  00  01     02       000   000   000   000   PROV
14  17  01  00  00     03       470   520   000   000   JRBJ
09  08  01  01  04     02       530   540   000   000   ASUD
03  10  01  03  01     01       560   470   000   000   ASUD
10  14  00  00  03     03       450   430   000   000   PNUR
09  19  02  00  00     03       000   000   000   000   BIOL
09  19  00  01  00     03       440   520   000   000   ASUD
10  19  02  00  00     03       610   550   000   000   PRCD
06  07  02  00  00     02       410   500   000   000   PDEN
11  19  05  00  00     03       460   420   000   000   PROV
12  23  06  00  00     04       610   580   000   000   ASUD
12  30  06  05  06     07       000   000   000   000   ARCE
11  15  00  02  00     03       450   520   000   000   BIOL
14  26  03  00  00     04       470   580   000   000   PNUR
07  15  00  00  00     02       520   550   000   000   PDEN
11  15  00  00  00     03       520   510   000   000   BAUD
11  19  05  01  00     03       560   460   000   000   ENUD
10  11  01  00  00     02       000   000   000   000   MIS
14  28  03  01  04     04       430   470   000   000   C S
14  25  05  00  00     04       500   490   000   000   TH A
10  20  04  00  00     03       490   410   000   000   PDEN
08  14  01  01  01     02       510   520   000   000   COBA
08  17  04  00  03     03       430   510   000   000   ASUD
05  12  02  00  00     01       560   230   000   000   MUPF
12  25  02  01  00     04       490   520   000   000   JRBJ
09  13  01  00  00     02       000   000   000   000   JRBJ
11  23  05  00  00     04       480   480   000   000   TH A
09  09  00  03  04     02       400   330   000   000   PMED
12  24  02  00  00     04       000   000   000   000   ASUD
10  17  01  00  00     03       520   460   000   000   S W
06  06  03  00  00     02       000   000   000   000   COBA
10  12  01  01  00     02       450   410   000   000   ADV
10  17  01  00  00     03       000   000   000   000   RHIM
08  14  00  00  00     02       530   540   000   000   ESS
07  09  00  02  01     02       580   550   000   000   POCP
06  05  02  00  00     02       430   430   000   000   PROV
11  17  05  00  00     03       000   000   000   000   COBA
07  05  00  01  01     02       490   400   000   000   PMED
08  13  04  00  00     02       480   460   000   000   PNUR
03  03  01  00  00     01       680   470   000   000   ZOOL
04  08  01  05  03     01       480   390   000   000   ASUD
08  16  01  01  02     03       480   470   000   000   BECO
09  15  01  03  02     03       530   500   000   000   POLS
06  20  02  00  00     03       520   410   000   000   ADV
10  22  00  01  02     03       490   540   000   000   PPHT
12  28  03  02  04     04       540   590   000   000   M E
10  13  04  05  05     03       460   420   000   000   PLAW
11  16  01  02  02     03       430   460   000   000   ASUD
09  14  02  00  00     03       520   440   000   000   PPHT
11  22  01  02  05     03       000   000   000   000   ASUD
06  17  00  00  00     03       490   470   000   000   MCOM
03  04  00  00  00     01       590   470   000   000   COBA
12  25  04  03  04     04       560   540   000   000   MUPF
07  05  00  00  00     02       580   530   000   000   BAUD
04  02  01  00  00     01       490   410   000   000   ASUD
12  20  03  00  00     03       440   530   000   000   ASUD
09  21  02  00  00     03       490   480   000   000   MUPF
07  18  03  00  00     03       500   370   000   000   PSY
09  17  04  01  03     03       000   000   000   000   MTEC
03  05  03  00  00     01       420   390   000   000   ASUD
09  10  00  00  00     02       510   550   000   000   PLAW
08  12  00  00  00     02       530   460   000   000   COBA
08  19  01  03  03     03       530   540   000   000   PSY
09  19  03  00  01     03       690   520   000   000   ENGL
09  04  02  03  02     02       430   380   000   000   PMED
09  10  01  00  00     02       530   490   000   000   ARCH
11  21  02  01  04     03       550   640   000   000   E E
12  21  05  00  00     04       560   520   000   000   COBA
11  19  01  00  00     03       540   510   000   000   ARCH
09  12  00  00  00     02       370   290   000   000   ARTD
08  10  01  04  01     02       510   450   000   000   ASUD
04  17  01  03  02     01       460   550   017   020   ARCE
11  12  02  00  00     03       000   000   000   000   PROV
10  14  03  00  00     03       480   410   000   000   BAUD
08  15  01  00  00     03       650   600   000   000   ASUD
10  16  01  00  00     03       560   500   000   000   G B
11  15  01  00  00     03       600   490   000   000   FADS
14  24  02  00  00     04       000   000   000   000   MUTC
12  20  04  01  01     04       520   540   000   000   G B
11  11  02  00  00     02       510   600   000   000   ASUD
09  18  02  00  00     03       540   520   000   000   ASUD
11  18  02  04  04     03       470   500   000   000   MUUD
07  13  02  00  00     02       000   000   000   000   ANSC
11  13  03  00  01     03       600   550   000   000   PHYS
12  09  01  00  00     02       000   000   000   000   ASUD
09  17  02  00  04     03       460   540   000   000   PROV
10  24  01  04  05     03       510   490   000   000   ASUD
06  08  01  00  00     02       550   510   000   000   TELE
05  11  01  00  00     01       520   410   000   000   MUTC
09  18  02  00  00     03       450   450   000   000   ASUD
05  18  02  00  00     01       460   560   000   000   MUTC
06  08  03  00  00     02       410   310   000   000   BAUD
08  11  02  00  00     02       490   510   000   000   JOUR
06  20  01  00  00     03       480   440   000   000   TELE
10  23  03  02  05     05       480   530   000   000   PPAR
14  25  06  00  00     04       450   570   000   000   PLAW
13  23  04  00  05     05       000   000   000   000   PMED
13  24  03  00  00     04       580   600   000   000   MUBA
10  18  02  00  00     03       530   560   000   000   PDEN
09  15  03  00  00     03       580   480   000   000   ADV
11  23  02  00  00     04       000   000   000   000   ASUD
14  27  06  06  07     07       750   590   000   000   BIOL
12  23  04  01  06     05       440   590   000   000   C S
07  13  02  00  00     02       530   440   000   000   ASUD
06  19  02  02  03     03       430   480   000   000   ASUD
12  21  02  02  04     03       000   000   000   000   CH E
14  26  04  02  06     05       000   000   000   000   C S
11  23  01  00  00     03       620   640   000   000   G B
13  25  00  00  00     04       570   500   000   000   ARTD
08  12  01  03  04     02       000   000   000   000   HIST
10  12  02  00  00     02       470   480   000   000   ASUD
13  29  06  03  04     04       540   700   000   000   ASUD
09  17  01  00  00     03       470   440   000   000   PROV
09  13  03  00  00     02       000   000   000   000   ESS
06  16  01  00  00     02       610   460   000   000   PMED
06  13  01  00  00     02       520   430   000   000   HIST
10  17  03  02  06     03       480   500   000   000   ADV
13  19  03  00  01     03       470   530   000   000   PPHT
05  11  03  01  01     01       390   420   000   000   C S
08  09  01  01  03     02       440   580   000   000   FIN
05  05  02  00  00     01       440   480   000   000   ASUD
14  28  06  04  04     04       500   530   000   000   MUTC
08  09  03  00  02     02       560   450   000   000   PMED
13  27  06  00  00     04       480   580   000   000   MD S
12  17  04  02  06     03       410   520   000   000   C S
08  19  05  00  00     03       000   000   000   000   PLAW
11  13  04  00  00     03       560   500   000   000   MUTC
13  30  03  00  00     04       530   670   000   000   BIOL
10  14  02  00  00     03       580   570   000   000   ARTD
04  07  02  02  03     01       460   380   000   000   ARBA
08  15  03  00  00     03       400   440   000   000   ASUD
12  18  03  00  00     03       530   490   000   000   POLS
05  06  00  00  00     01       530   460   000   000   PSY
11  18  03  02  02     03       000   000   000   000   PPAR
10  15  00  00  00     03       440   530   000   000   HIST
05  12  03  01  03     01       460   450   000   000   PSY
04  04  06  02  03     01       340   360   000   000   ACCT
07  20  01  00  00     03       460   440   000   000   PROV
07  19  02  01  00     03       530   540   000   000   PSY
10  07  01  00  00     02       450   500   000   000   ASUD
05  09  00  00  00     01       000   000   000   000   H D
09  21  00  00  00     03       470   440   000   000   ASUD
10  17  03  01  01     03       450   400   000   000   ASUD
10  14  02  00  00     03       520   520   000   000   ASUD
14  26  03  00  00     04       000   000   021   020   PMED
06  09  02  00  00     02       610   520   000   000   COBA
11  23  01  01  03     03       510   560   000   000   DIET
07  14  01  00  02     02       000   000   000   000   ASUD
08  07  01  01  03     02       000   000   000   000   PDEN
13  21  00  00  00     03       430   520   000   000   PSY
13  30  03  05  06     07       000   000   000   000   MSCI
13  23  02  00  00     04       590   600   000   000   ARBA
03  07  00  00  00     01       000   000   000   000   BIOL
06  21  04  00  00     03       570   480   000   000   ASUD
09  11  03  00  00     02       000   000   000   000   ASUD
10  11  02  00  00     02       470   440   000   000   PROV
08  20  03  00  00     03       500   580   000   000   MUUD
09  16  04  00  00     03       470   420   000   000   TH A
14  21  04  02  06     05       530   510   000   000   H D
12  26  00  05  05     07       000   000   000   000   E E
14  27  05  05  09     07       700   580   000   000   BAUD
06  10  03  00  00     02       500   480   000   000   MUUD
09  11  01  00  03     02       480   470   000   000   PROV
04  07  02  01  04     01       420   510   000   000   PROV
13  31  07  05  04     06       580   560   000   000   ARCE
12  25  03  02  04     04       430   550   000   000   ASUD
11  17  03  00  00     03       660   600   000   000   ASUD
12  24  05  06  07     07       610   640   000   000   C S
12  11  01  00  00     03       630   600   000   000   POLS
14  19  02  02  05     03       450   560   000   000   MD S
09  26  02  00  00     04       640   490   000   000   ANTH
13  20  02  00  00     03       460   500   000   000   F&N
12  24  04  03  03     04       000   000   000   000   PPHT
10  15  02  02  03     03       560   510   000   000   COBA
14  25  02  01  00     04       540   600   000   000   BIOL
13  30  05  05  06     07       470   660   000   000   EECS
10  10  01  01  00     02       450   440   000   000   MCOM
10  18  01  00  00     03       000   000   000   000   PSY
11  24  03  00  00     04       470   500   000   000   MUTC
08  18  02  00  00     03       580   520   000   000   JRBJ
13  14  01  00  00     03       620   550   000   000   ASUD
07  12  01  00  02     02       400   370   000   000   C S
04  23  00  00  00     01       000   000   000   000   ARBG
10  23  01  00  03     03       460   540   000   000   PPAR
10  27  05  00  00     04       000   000   000   000   MIS
11  12  00  00  00     03       450   450   000   000   PLAW
11  29  03  00  00     04       330   510   000   000   FIN
12  22  06  01  00     04       530   480   023   023   MIS
04  06  00  00  00     01       470   390   000   000   BAUD
09  20  01  00  00     03       000   000   000   000   MIS
09  18  00  03  02     03       000   000   000   000   PNUR
07  11  01  00  00     02       390   380   000   000   PROV
11  21  03  00  00     03       480   550   000   000   MUPF
05  12  01  00  00     01       000   000   000   000   ASUD
06  11  00  00  00     02       460   460   000   000   PPHT
09  23  01  04  01     03       660   570   000   000   ASUD
04  06  01  00  03     01       430   380   000   000   PMED
07  15  04  00  00     02       510   500   000   000   ASUD
14  26  02  03  03     04       630   570   000   000   C S
09  15  02  00  00     03       580   490   000   000   PDEN
12  27  05  02  08     05       000   000   000   000   ACCT
13  23  02  04  02     04       520   600   000   000   H D
12  17  03  00  00     03       000   000   000   000   ADV
08  07  01  00  00     02       560   520   000   000   ADV
06  09  00  00  00     02       520   480   000   000   TH A
11  21  04  00  00     04       580   550   000   000   ARTD
12  25  04  01  00     04       540   580   000   000   P R
06  08  03  00  02     02       540   460   000   000   ZOOL
08  09  00  00  00     02       450   440   000   000   PLAW
10  22  02  00  00     03       680   530   000   000   MGT
12  22  03  00  00     04       450   530   000   000   PMED
06  05  01  01  04     02       520   420   000   000   ASUD
12  18  02  03  03     03       430   530   000   000   MIS
09  21  03  00  00     03       000   000   000   000   MUTC
12  16  03  00  00     03       580   520   000   000   JRBJ
12  21  03  00  00     04       410   500   000   000   MGT
12  16  02  00  00     03       540   470   000   000   MUPF
12  13  04  00  00     03       670   550   000   000   EECS
07  04  01  00  00     02       000   000   000   000   MCOM
05  07  00  00  00     01       500   430   000   000   ACCT
10  15  01  00  00     03       680   530   000   000   MKT
11  12  03  03  04     03       480   430   000   000   M E
10  14  01  00  00     03       570   420   000   000   PPHT
07  10  01  00  00     02       570   460   000   000   PSY
04  07  02  00  00     01       580   500   000   000   PNUR
12  24  03  05  00     06       630   590   000   000   PLAW
12  23  03  00  00     04       580   560   000   000   ARCH
07  18  03  00  00     03       000   000   000   000   ASUD
10  18  01  01  00     03       540   480   000   000   ASUD
04  12  01  00  00     01       420   440   000   000   PROV
12  13  01  00  00     03       590   520   000   000   MGT
12  27  04  03  06     05       550   660   000   000   PSY
13  20  02  01  04     03       560   580   000   000   C S
10  20  00  00  00     03       490   560   000   000   PLAW
12  20  02  02  01     03       510   580   000   000   PMED
12  20  03  00  00     03       000   000   000   000   ALNG
10  12  00  00  00     02       530   520   000   000   BAUD
07  10  01  00  00     02       470   420   000   000   PPAR
06  14  03  02  03     02       500   520   000   000   C S
11  10  00  00  00     02       480   520   000   000   COBA
04  10  03  00  00     01       000   000   000   000   MUTC
13  26  05  01  00     04       640   600   000   000   BIOL
06  11  02  00  00     02       360   320   017   017   ASUD
12  18  02  00  00     03       470   600   000   000   COBA
13  25  03  01  05     05       450   550   000   000   PPHT
09  20  02  03  06     03       460   560   000   000   ASUD
11  20  02  00  00     03       510   530   000   000   MD S
12  29  03  01  00     04       750   640   000   000   PMED
10  19  01  00  00     03       000   000   000   000   BIOL
07  06  01  00  00     02       580   450   000   000   ART
12  17  03  00  00     03       500   490   000   000   P R
05  13  00  01  01     01       510   520   000   000   ASUD
07  19  02  00  00     03       500   480   000   000   ESS
02  08  00  01  00     01       000   000   000   000   EDSE
08  09  00  00  00     02       520   490   000   000   CTEC
05  09  01  00  00     01       390   420   000   000   PSY
06  10  01  00  00     02       000   000   000   000   MER
09  14  01  02  02     03       410   480   000   000   M E
08  12  03  00  00     02       560   450   000   000   PSY
12  10  02  01  01     02       000   000   000   000   ASUD
09  09  01  04  04     02       570   520   000   000   PMED
07  08  02  00  00     02       610   530   000   000   ENGL
09  18  05  00  00     03       460   350   000   000   G B
12  19  04  00  00     03       590   580   000   000   FADS
09  13  03  01  00     02       460   560   000   000   ARDS
06  04  02  00  00     02       000   000   000   000   PROV
13  20  02  01  03     03       480   470   000   000   NURS
08  05  01  00  00     02       410   400   000   000   COBA
11  16  04  02  00     03       490   560   000   000   COBA
06  11  00  00  00     02       450   500   000   000   G ST
07  13  03  00  00     02       600   500   000   000   BAUD
12  31  05  01  07     05       420   520   000   000   ACCT
03  06  04  03  01     01       000   000   000   000   ADV
09  23  05  02  03     04       640   560   000   000   PPAR
12  23  04  00  00     04       460   510   000   000   G ST
14  29  05  03  08     05       000   000   000   000   PPAR
06  10  01  00  00     02       500   490   000   000   ASUD
03  03  01  00  00     01       000   000   000   000   EDEL
09  16  00  00  00     03       360   450   000   000   ASUD
06  08  03  00  00     02       400   460   000   000   ASUD
09  16  02  00  00     03       370   510   000   000   PROV
08  11  05  02  02     02       480   460   000   000   PMED
05  06  00  01  05     01       440   520   000   000   C S
12  29  03  00  00     04       510   600   000   000   BAUD
11  18  02  00  00     03       500   480   000   000   COMS
09  14  03  05  04     03       580   470   000   000   BICH
07  15  02  03  02     02       000   000   000   000   ASUD
13  16  04  00  00     03       540   590   000   000   G ST
09  14  02  00  00     03       470   470   000   000   PROV
08  23  02  00  00     03       000   000   000   000   COBA
09  15  05  00  00     03       530   460   000   000   BAUD
13  20  05  00  00     04       620   500   000   000   ARTD
02  07  04  03  02     01       410   410   000   000   PROV
09  17  02  00  00     03       540   470   000   000   ASUD
14  30  07  00  00     04       500   560   000   000   BIOL
12  13  02  00  00     03       000   000   000   000   PDEN
06  10  04  00  00     02       430   410   000   000   HIST
13  28  05  00  07     05       530   660   000   000   BAUD
07  15  01  00  00     02       620   510   000   000   P R
05  05  03  00  00     01       470   420   000   000   ASUD
07  11  01  00  00     02       000   000   000   000   ASUD
14  29  05  00  00     04       620   560   000   000   ESS
09  18  01  00  00     03       500   540   000   000   PSY
05  06  02  00  00     01       000   000   000   000   G B
05  07  01  00  00     01       420   390   000   000   ASUD
08  17  04  00  00     03       540   470   000   000   JRBJ
08  17  01  02  00     03       490   510   000   000   E E
13  11  03  00  00     03       530   520   000   000   COMS
08  16  02  00  00     03       000   000   000   000   ASUD
11  19  00  00  04     03       000   000   000   000   ASUD
05  14  03  00  00     01       440   410   000   000   PPHT
