A   B   C   D   E     Code      SV    SM    AV    AM    Major
07  13  01  00  00     02       470   450   000   000   I D                                          
13  20  02  01  00     03       520   590   000   000   G B                                          
06  15  00  00  00     02       420   380   000   000   PSY                                          
07  10  01  00  00     02       650   550   000   000   COBA                                         
07  08  01  00  00     02       550   360   000   000   E C                                          
09  10  03  00  00     02       560   480   000   000   PSY                                          
05  04  02  01  03     01       520   500   020   018   H D                                          
09  23  02  00  00     03       480   580   000   000   P R                                          
09  22  06  00  00     04       000   000   000   000   COBA                                         
08  13  04  00  00     02       430   420   000   000   STUD                                         
09  14  03  00  00     03       570   520   000   000   ASUD                                         
11  17  05  00  00     03       000   000   000   000   PMED                                         
08  20  03  00  00     03       510   430   000   000   ESS                                          
07  11  01  01  03     02       490   540   000   000   ARTD                                         
09  23  01  00  00     03       480   490   000   000   ESS                                          
11  20  04  04  01     03       570   490   000   000   ARCE                                         
13  31  08  09  10     07       750   790   000   000   EECS                                         
13  24  01  00  00     04       530   590   000   000   TELE                                         
07  21  00  00  01     03       470   540   019   020   ETEC                                         
08  18  04  00  00     03       490   500   000   000   POCP                                         
11  21  02  00  00     03       500   490   000   000   PLAW                                         
08  16  02  06  01     03       600   510   000   000   PMED                                         
06  10  02  00  02     02       000   000   000   000   ARDS                                         
09  27  02  04  05     05       600   590   000   000   PMED                                         
08  21  01  00  00     03       520   550   000   000   COBA                                         
12  18  02  00  00     03       580   600   000   000   ASUD                                         
13  20  00  00  00     03       510   550   000   000   ASUD                                         
14  18  01  00  00     03       530   530   000   000   PPHT                                         
12  22  03  00  00     04       530   450   000   000   BIOL                                         
12  21  04  02  02     04       540   580   000   000   M E                                          
11  23  03  00  00     04       480   540   000   000   ARCH                                         
12  14  05  00  00     03       490   560   000   000   ASUD                                         
14  32  06  03  08     05       580   680   000   000   E C                                          
09  19  02  01  01     03       000   000   000   000   COBA                                         
12  22  04  00  00     04       590   540   000   000   COBA                                         
11  21  03  00  02     03       600   560   000   000   M E                                          
12  16  03  02  05     03       430   570   000   000   CMPE                                         
14  31  08  07  09     07       530   710   000   000   E E                                          
12  17  00  00  03     03       440   480   000   000   ASUD                                         
10  10  02  00  00     02       480   550   000   000   COBA                                         
14  31  06  00  00     04       500   680   000   000   AGGB                                         
13  27  06  03  05     05       540   590   000   000   CH E                                         
11  26  06  02  04     04       370   440   000   000   PETR                                         
14  31  06  05  10     07       000   000   000   000   ENPH                                         
11  18  04  00  00     03       520   560   000   000   COBA                                         
12  20  04  00  00     04       460   430   000   000   AGGB                                         
10  23  04  01  00     04       510   600   000   000   COBA                                         
06  09  00  00  00     02       460   460   000   000   MIS                                          
10  21  02  00  00     03       480   600   018   025   PVET                                         
05  20  02  00  00     01       450   410   000   000   COBA                                         
07  14  02  00  00     02       660   510   000   000   AGBS                                         
11  26  01  00  00     04       460   500   000   000   COBA                                         
11  19  03  01  01     03       000   000   000   000   PMED                                         
09  16  04  00  00     03       680   580   000   000   PSY                                          
11  25  02  05  03     06       570   580   000   000   MSCI                                         
10  18  02  00  02     03       440   430   000   000   ARCE                                         
13  21  05  00  00     04       530   580   000   000   C S                                          
08  15  02  00  00     03       400   410   000   000   MCOM                                         
05  13  02  00  00     01       430   390   000   000   E C                                          
11  23  03  04  05     05       540   580   000   000   EECS                                         
10  10  04  00  00     02       000   000   000   000   ASUD                                         
13  29  04  00  03     04       540   530   000   000   ASUD                                         
08  22  02  05  06     03       000   000   000   000   E C                                          
13  25  04  02  02     04       560   590   000   000   COBA                                         
12  25  03  02  03     04       550   510   000   000   C S                                          
10  23  00  00  00     03       430   450   000   000   PSY                                          
14  29  06  04  06     05       630   630   000   000   CTEC                                         
11  20  03  02  03     03       410   590   000   000   ARCE                                         
04  10  03  00  00     01       460   350   000   000   E C                                          
07  19  01  00  00     03       560   490   000   000   PPHT                                         
11  20  01  00  00     03       470   530   000   000   COBA                                         
10  18  02  00  00     03       440   400   000   000   ADV                                          
09  18  03  00  00     03       500   470   000   000   ASUD                                         
11  15  01  00  00     03       530   540   000   000   WFMG                                         
04  08  01  00  00     01       420   370   000   000   ADV                                          
14  10  03  00  00     03       000   000   000   000   C S                                          
13  23  00  00  00     04       400   590   000   000   JRNE                                         
10  18  01  04  08     03       500   530   000   000   PETR                                         
10  16  02  00  00     03       440   420   000   000   E C                                          
11  28  05  03  03     04       570   590   000   000   ARDS                                         
09  22  07  00  00     04       530   530   000   000   ARBA                                         
11  19  03  00  00     03       520   510   000   000   MIS                                          
12  22  04  00  00     04       580   530   000   000   PSY                                          
11  17  02  00  00     03       500   540   000   000   COBA                                         
09  18  03  00  00     03       470   510   000   000   F&N                                          
14  32  07  06  10     07       760   690   000   000   PHYS                                         
14  32  06  04  05     05       680   700   000   000   ENUD                                         
07  10  02  00  00     02       000   000   000   000   BIOL                                         
11  14  02  00  00     03       500   480   000   000   PLAW                                         
09  09  01  00  00     02       540   580   000   000   ASUD                                         
11  16  01  00  00     03       500   520   000   000   EDSE                                         
14  31  08  08  09     07       670   720   000   000   CH E                                         
13  30  05  03  09     05       540   620   000   000   M E                                          
11  23  00  00  00     03       510   590   000   000   COBA                                         
13  22  00  00  00     03       490   520   019   023   E C                                          
11  19  02  00  00     03       600   590   000   000   COBA                                         
10  14  00  00  00     03       470   480   000   000   PMED                                         
13  26  06  03  05     05       000   000   000   000   E E                                          
12  24  06  07  09     07       620   740   000   000   C S                                          
08  09  02  00  00     02       460   490   000   000   E C                                          
11  26  06  00  00     04       540   480   019   022   FADS                                         
11  23  06  00  00     04       500   540   000   000   COBA                                         
13  26  04  03  09     05       560   530   000   000   PDEN                                         
10  05  01  00  00     02       000   000   000   000   ENGL                                         
13  20  02  00  00     03       380   460   000   000   ADV                                          
14  32  07  00  00     04       560   640   000   000   COBA                                         
09  16  03  00  00     03       630   600   000   000   MCOM                                         
11  15  01  01  01     03       580   510   000   000   BIOL                                         
14  26  04  04  04     04       650   660   000   000   ARCE                                         
14  30  06  03  08     05       540   610   000   000   C E                                          
09  17  03  00  00     03       000   000   000   000   BAUD                                         
06  14  03  02  03     02       000   000   000   000   BIOL                                         
13  25  05  02  06     05       000   000   000   000   ARCH                                         
12  29  06  00  00     04       550   560   000   000   ARCH                                         
05  19  01  00  00     01       380   430   000   000   PDEN                                         
08  13  02  04  03     02       500   500   000   000   M E                                          
06  19  01  03  04     03       380   460   000   000   ASUD                                         
11  28  04  02  06     05       000   000   000   000   C E                                          
13  29  07  05  08     07       530   560   000   000   ARCH                                         
10  21  02  00  00     03       420   510   000   000   MKT                                          
08  21  03  00  00     03       580   400   000   000   COBA                                         
09  14  00  00  00     03       560   480   000   000   MCOM                                         
13  20  02  01  00     03       570   530   000   000   E C                                          
05  06  03  00  00     01       520   410   000   000   F&N                                          
10  16  02  00  00     03       610   510   000   000   BAUD                                         
08  06  00  00  03     02       620   510   000   000   COBA                                         
14  32  08  08  10     07       710   760   033   035   M E                                          
11  15  03  00  00     03       460   470   000   000   COBA                                         
04  10  03  00  00     01       370   260   000   000   RHIM                                         
10  14  02  00  00     03       560   540   000   000   ASUD                                         
11  28  04  00  00     04       520   520   016   019   BIOL                                         
14  29  07  04  09     05       610   690   000   000   M E                                          
09  15  02  00  00     03       540   550   000   000   M E                                          
11  18  04  01  03     03       000   000   000   000   GEOS                                         
12  25  02  03  05     05       430   590   000   000   M E                                          
11  16  04  03  04     03       510   500   000   000   CH E                                         
11  18  03  00  00     03       540   520   000   000   COBA                                         
11  20  04  02  03     03       000   000   000   000   E E                                          
12  27  05  02  05     05       580   630   000   000   C S                                          
11  25  06  04  07     05       000   000   000   000   PRCD                                         
07  09  04  02  00     02       530   490   000   000   ARTD                                         
11  16  01  00  00     03       510   470   000   000   COBA                                         
14  29  06  01  03     04       660   610   000   000   PETR                                         
05  13  01  00  00     01       630   470   000   000   I E                                          
12  25  06  04  06     05       460   550   000   000   CHEM                                         
14  30  08  05  07     07       670   790   000   000   ENUD                                         
13  28  04  02  07     05       630   610   000   000   C S                                          
12  22  03  04  00     04       440   610   000   000   E E                                          
08  19  02  03  02     03       420   470   000   000   M E                                          
13  29  06  03  08     05       550   790   000   000   C S                                          
14  31  08  05  03     06       710   630   000   000   ARCE                                         
14  21  03  03  04     04       430   550   000   000   M E                                          
12  16  01  00  00     03       610   510   000   000   JOUR                                         
13  32  04  03  08     05       760   690   000   000   C E                                          
12  21  02  00  00     03       440   480   000   000   ANSC                                         
08  07  01  00  00     02       000   000   000   000   COBA                                         
11  11  03  00  00     02       510   520   000   000   PNUR                                         
13  25  02  00  00     04       540   580   000   000   ADV                                          
05  10  02  00  00     01       000   000   000   000   PSY                                          
13  21  05  01  03     04       470   480   000   000   PDEN                                         
07  10  00  00  00     02       440   420   000   000   ACOM                                         
04  16  02  00  00     01       000   000   000   000   ANSC                                         
10  13  01  00  02     03       520   450   018   021   TH A                                         
05  16  04  00  00     01       440   420   000   000   PSY                                          
12  18  03  03  05     03       380   470   000   000   CMPE                                         
07  14  01  00  00     02       520   450   000   000   COBA                                         
12  26  06  02  05     05       000   000   000   000   EECS                                         
13  32  08  08  09     07       630   670   000   000   CH E                                         
12  18  03  00  00     03       000   000   000   000   MIS                                          
10  15  03  00  00     03       590   490   000   000   PSY                                          
12  23  03  05  06     07       600   610   000   000   PETR                                         
13  19  05  02  03     04       510   530   000   000   ESS                                          
13  20  05  03  00     04       420   490   000   000   ENUD                                         
14  27  03  05  05     07       560   560   000   000   M E                                          
12  21  03  06  05     07       600   590   000   000   C S                                          
10  25  03  04  07     05       630   650   000   000   M E                                          
09  22  00  00  00     03       510   510   000   000   P R                                          
12  21  02  00  00     03       530   600   000   000   COBA                                         
08  14  02  00  00     02       450   460   000   000   COMS                                         
12  17  02  00  00     03       560   530   000   000   AGUD                                         
11  20  01  00  00     03       420   520   000   000   ASUD                                         
14  31  08  07  10     07       650   710   000   000   EECS                                         
12  23  03  03  04     04       660   570   000   000   ENVE                                         
13  32  08  08  08     07       000   000   000   000   C S                                          
08  09  03  00  00     02       590   490   000   000   PMED                                         
12  15  03  01  01     03       000   000   000   000   M E                                          
08  20  03  00  00     03       000   000   000   000   COBA                                         
11  25  02  00  00     04       630   590   000   000   COBA                                         
11  19  01  02  03     03       500   520   000   000   ASUD                                         
09  11  01  00  00     02       000   000   000   000   ARTD                                         
10  16  02  00  00     03       490   540   000   000   E C                                          
12  16  04  00  01     03       000   000   000   000   PMED                                         
12  13  03  00  00     03       000   000   000   000   AGRO                                         
04  18  03  00  00     01       460   420   000   000   COMS                                         
10  28  03  03  05     05       610   480   027   021   PPHT                                         
13  28  01  00  00     04       530   610   000   000   ARCH                                         
12  21  03  00  00     04       510   520   000   000   MUTC                                         
09  11  03  00  00     02       440   570   000   000   ESS                                          
09  11  00  00  01     02       000   000   000   000   ARTD                                         
12  05  04  00  03     02       590   610   000   000   M E                                          
12  28  03  01  02     04       380   530   000   000   ENUD                                         
10  11  01  00  00     02       440   520   000   000   PMED                                         
11  14  01  00  00     03       510   470   000   000   PNUR                                         
12  18  04  02  03     03       500   610   000   000   PMED                                         
11  15  03  02  03     03       330   460   000   000   ENUD                                         
07  11  03  00  00     02       480   440   000   000   PHOT                                         
14  32  07  07  10     07       000   000   000   000   C E                                          
06  10  02  00  00     02       530   410   000   000   ASUD                                         
09  20  04  00  00     03       400   460   000   000   ASUD                                         
14  25  03  00  00     04       590   570   000   000   I D                                          
11  17  00  01  00     03       000   000   000   000   PMED                                         
11  21  02  00  00     03       420   430   000   000   COBA                                         
04  12  01  00  00     01       430   420   000   000   FADS                                         
07  14  02  00  00     02       000   000   000   000   RHIM                                         
04  12  01  00  02     01       000   000   000   000   H D                                          
04  08  01  00  00     01       490   410   000   000   I D                                          
12  17  01  00  00     03       460   630   000   000   COBA                                         
12  26  03  00  00     04       590   550   000   000   ASUD                                         
13  24  04  00  00     04       000   000   000   000   ASUD                                         
13  25  04  02  05     05       000   000   000   000   PPAR                                         
10  11  04  00  00     02       550   510   000   000   ACOM                                         
11  29  03  01  02     04       420   500   000   000   COBA                                         
10  20  01  00  00     03       500   580   000   000   COMS                                         
06  07  01  00  00     02       570   540   000   000   ASUD                                         
11  23  02  01  00     04       500   600   000   000   COBA                                         
10  14  01  03  00     03       580   470   000   000   ARCE                                         
08  10  02  00  00     02       590   540   022   018   MCOM                                         
13  18  02  02  02     03       000   000   000   000   PLAW                                         
07  13  03  00  00     02       490   410   000   000   ARDS                                         
10  20  03  01  03     03       430   500   000   000   ENUD                                         
10  10  01  02  02     02       580   570   000   000   ASUD                                         
12  23  02  00  00     04       530   510   000   000   TELE                                         
10  10  03  01  01     02       610   570   000   000   PMED                                         
12  24  04  05  08     07       000   000   000   000   E E                                          
07  14  03  00  00     02       450   470   000   000   F&N                                          
11  11  02  00  00     02       000   000   000   000   E C                                          
13  28  07  00  04     04       430   550   000   000   ARCH                                         
10  17  02  00  00     03       550   530   000   000   ACOM                                         
07  16  02  00  00     03       540   420   000   000   COBA                                         
08  08  01  00  00     02       420   490   000   000   ANSC                                         
11  11  04  00  00     02       560   510   000   000   POLS                                         
13  30  05  00  00     04       710   670   000   000   EECS                                         
09  24  04  00  00     04       630   520   000   000   AAEC                                         
07  14  02  00  00     02       620   490   000   000   ASUD                                         
08  14  01  00  00     02       480   470   000   000   E C                                          
09  20  03  00  00     03       450   470   000   000   COBA                                         
07  18  03  00  00     03       480   430   000   000   ASUD                                         
10  12  03  00  00     02       410   440   000   000   MD S                                         
13  27  04  02  00     04       000   000   000   000   E E                                          
11  21  02  00  00     03       570   510   000   000   PPAR                                         
12  19  02  02  02     03       000   000   000   000   ESS                                          
06  12  02  01  00     02       470   430   000   000   PPAR                                         
08  15  00  00  00     03       690   520   000   000   JRBJ                                         
12  30  07  03  07     05       480   580   000   000   HIST                                         
12  29  05  01  00     04       490   710   019   031   I E                                          
10  21  02  00  00     03       530   520   000   000   ANSC                                         
13  30  05  04  06     05       580   490   000   000   ANSC                                         
06  12  03  00  00     02       500   530   000   000   ASUD                                         
13  20  03  04  06     05       000   000   000   000   C S                                          
12  21  03  00  00     04       480   550   000   000   COBA                                         
08  09  02  00  00     02       440   440   000   000   ADV                                          
11  26  04  02  04     04       000   000   000   000   PMED                                         
13  28  06  01  04     04       440   610   000   000   ARCH                                         
14  32  08  07  09     07       590   740   000   000   E E                                          
03  11  03  00  00     01       000   000   000   000   P R                                          
14  23  05  06  08     07       690   720   000   000   EECS                                         
13  26  05  01  03     04       580   610   000   000   ENUD                                         
14  20  02  01  02     04       440   510   000   000   ADV                                          
10  12  01  00  00     02       000   000   000   000   PDEN                                         
03  07  00  00  00     01       000   000   000   000   P R                                          
10  25  04  05  04     06       590   530   000   000   EECS                                         
05  07  03  00  00     01       500   400   000   000   POLS                                         
10  19  01  02  07     03       440   430   000   000   PDEN                                         
08  14  02  00  00     02       450   440   000   000   E C                                          
12  17  02  00  00     03       600   510   000   000   ARCH                                         
07  13  03  00  00     02       450   410   000   000   ANBS                                         
06  21  01  00  00     03       440   450   000   000   COBA                                         
05  11  01  00  00     01       360   350   000   000   MD S                                         
10  14  01  00  00     03       480   480   000   000   COBA                                         
11  25  02  00  00     04       470   560   000   000   COBA                                         
07  21  03  00  00     03       000   000   000   000   PVET                                         
11  18  04  00  00     03       420   560   000   000   MD S                                         
10  31  06  05  08     07       690   670   000   000   I E                                          
06  06  02  01  04     02       590   520   000   000   ADV                                          
12  31  07  07  09     07       600   750   000   000   C S                                          
13  24  04  01  07     05       610   620   000   000   ARCE                                         
08  06  02  00  00     02       540   510   000   000   I D                                          
14  30  02  03  03     04       000   000   000   000   M E                                          
12  17  03  00  00     03       440   550   000   000   ASUD                                         
09  23  03  02  04     03       480   590   000   000   COBA                                         
09  12  00  00  00     02       390   520   000   000   ASUD                                         
12  18  02  01  00     03       480   540   000   000   G ST                                         
09  18  03  00  00     03       620   530   000   000   PSY                                          
13  22  01  00  00     04       500   530   000   000   MD S                                         
13  17  04  01  03     03       430   470   000   000   MCOM                                         
12  16  03  00  00     03       460   470   000   000   PPHT                                         
12  24  04  03  06     05       540   580   000   000   BIOL                                         
14  30  08  04  06     05       000   000   000   000   M E                                          
12  17  02  00  00     03       430   490   000   000   COBA                                         
14  23  04  00  00     04       530   570   000   000   WFMG                                         
12  16  02  00  00     03       000   000   000   000   INAG                                         
06  15  01  00  00     02       480   530   000   000   COBA                                         
04  09  00  00  00     01       000   000   000   000   FCS                                          
12  24  04  04  06     05       500   540   000   000   M E                                          
08  18  02  02  06     03       000   000   000   000   PETR                                         
11  24  06  00  00     04       490   600   000   000   PNUR                                         
14  22  04  00  00     04       420   510   000   000   COBA                                         
10  09  02  00  00     02       530   460   000   000   PSY                                          
11  19  05  00  00     03       000   000   000   000   COBA                                         
14  20  04  03  05     05       640   510   000   000   PMED                                         
14  32  06  07  06     07       690   790   000   000   BAUD                                         
11  23  03  03  08     05       440   580   000   000   ESS                                          
14  27  03  00  00     04       520   500   000   000   COBA                                         
14  30  04  02  09     05       640   640   000   000   C S                                          
13  27  07  04  05     05       550   660   000   000   C E                                          
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
                                             
